"Term","English Equivalent","Phonetic Pronunciation","Part of Speech","Franchise","Medium","Related Words (Cross-Franchise)","Real-World Euphemisms","Category","Severity","Notable Speaker","First Appearance (Episode/Chapter/Issue)","Short Description","Etymology (Narrative)","Semantic Drift Timeline","Usage History (Narrative)","Taboo Trajectory (Narrative)","Regional Notes (In-Universe)","Example Quote"
"Xuth","Damn / Shit","ZOOTH","Interjection","The Elder Scrolls","Video Games","D'Arvit (Artemis Fowl); Dren (Farscape)","Damn; Blast; Crap","Profanity","Moderate","Various Argonian characters","The Elder Scrolls Online (2014)","An Argonian (Jel language) exclamation used to express frustration or anger.","From Jel, the Argonian language. Part of the Elder Scrolls' system of giving each race its own profanity reflecting their distinct culture.","Used by Argonian characters. Has not developed beyond its basic exclamatory function.","Used in Elder Scrolls Online and later Elder Scrolls media featuring Argonian characters.","A moderate Argonian expletive. Less iconic than the Dunmeri curses due to Argonians' less prominent role in main-series games.","Argonian (Black Marsh). Used by Argonians regardless of location.","Xuth! We're surrounded!"
"Kaoc","Crap / Shit","KAY-ok","Noun/Interjection","The Elder Scrolls","Video Games","Dren (Farscape); Crem (Stormlight Archive); Druk (Star Wars)","Crap; Dung; Muck","Scatological","Moderate","Various Argonian characters","The Elder Scrolls Online (2014)","Argonian (Jel) word for crap or excrement, used as a scatological expletive.","From Jel, the Argonian language. Scatological profanity following the universal pattern of using waste as an insult.","Consistent scatological term for Argonian characters.","Used in Elder Scrolls Online.","Standard scatological vulgarity in the Argonian lexicon.","Argonian (Black Marsh).","What a load of kaoc."
"Gonk","Idiot / Moron","GONK","Noun/Adjective (Insult)","Cyberpunk 2077","Video Games/TTRPG","S'wit (Elder Scrolls); Smeghead (Red Dwarf); Wool-headed (WoT)","Idiot; Moron; Dumbass; Fool","Insult","Moderate","V, Jackie Welles, various NPCs","Cyberpunk TTRPG by Mike Pondsmith (1988); Cyberpunk 2077 (2020)","Night City slang for an idiot or fool. Can be used as noun or adjective ('gonk move'). One of Cyberpunk's most beloved and adopted slang terms.","Created by Mike Pondsmith for the 1988 Cyberpunk tabletop RPG. Onomatopoeic and slightly comical, with no clear real-world etymology.","Stable — always means 'idiot/fool.' Can function as noun ('you gonk') or adjective ('gonk move').","Cyberpunk TTRPG (1988). Cyberpunk 2077 (2020). Cyberpunk: Edgerunners anime (2022).","Became one of the most recognizable gaming slang terms of the 2020s after the video game and anime brought it to mainstream audiences.","Universal across Night City. All social strata and gangs use it.","Don't be a gonk, V. Think before you act."
"Prawn","Racial slur (for aliens)","PRAWN","Noun (Slur)","District 9","Film","Toaster (BSG); Mutie (X-Men); Mudblood (Harry Potter); Skinjob (Blade Runner)","Bug; Cockroach; Animal (dehumanizing); Vermin","Slur","Extreme","Wikus Van De Merwe (Sharlto Copley), various humans","District 9 (2009)","A derogatory term used by humans for the alien Poleepkwa, comparing them to bottom-feeding crustaceans. The film uses it as an apartheid allegory.","The aliens resemble large prawns (shrimp). Humans seized on their appearance to create a dehumanizing slur, reducing sentient beings to seafood. The film explicitly parallels South African apartheid.","Used consistently as a slur throughout the film. No in-film drift, but the audience's understanding of its cruelty deepens as the film reveals the aliens' intelligence and suffering.","Introduced in District 9 (2009). The film's apartheid allegory made 'prawn' one of the most analyzed fictional slurs in film criticism.","Immediately extreme within the film's context. The word is loaded with contempt and used to justify segregation, eviction, and violence — directly paralleling real-world dehumanizing language.","Used by human South Africans. The aliens themselves do not use the term.","A prawn wouldn't know the difference anyway."
"Skinjob","Racial slur (for replicants/humanoids)","SKIN-job","Noun (Slur)","Blade Runner","Film","Toaster (BSG); Prawn (District 9); Mutie (X-Men); Synth (Fallout 4)","Freak; Imposter; Not-human; Machine","Slur","Extreme","Captain Bryant (M. Emmet Walsh)","Blade Runner (1982)","A derogatory term for replicants — bioengineered humanoids. Implies they're merely skin stretched over machinery, denying their potential personhood.","Combines 'skin' (their human-like exterior) with 'job' (manufactured product). The term reduces sentient beings to their manufactured components. Adopted into BSG and other sci-fi.","Used in both Blade Runner (1982) and Blade Runner 2049 (2017), showing the slur persists across decades of in-universe time.","Introduced in Blade Runner (1982). Used in the sequel 2049 (2017). Referenced in BSG where 'skin job' was used for human-looking Cylons.","Began as police slang in the original film. By 2049, it's deeply embedded institutional language. The term's persistence shows how slurs calcify over generations.","Used by human police and civilians in future Los Angeles.","Christ, Deckard, you look almost as bad as that skinjob you left on the sidewalk."
"Mutie / Muties","N-word equivalent for mutants","MYOO-tee","Noun (Slur)","Marvel / X-Men","Comics/TV/Film","Mudblood (Harry Potter); Prawn (District 9); Toaster (BSG); N'wah (Elder Scrolls)","Freak; Abomination; Subhuman","Slur","Extreme","Various anti-mutant characters; Donald Pierce in Logan","X-Men comics (1960s onward)","A slur directed at mutants in the Marvel Universe. Sometimes referred to as 'the m-word.' Became the Marvel equivalent of the most extreme real-world racial slurs.","Shortened form of 'mutant,' weaponized into a slur. Parallels how neutral descriptors can be twisted into epithets when applied with contempt by a dominant group.","Introduced in early X-Men comics. By the 1980s, explicitly positioned as the Marvel Universe's equivalent of the N-word. Resurfaced prominently in The Gifted TV series.","Used in X-Men comics since the 1960s. Featured in Logan (2017) and The Gifted (2017-2019). One of the longest-running fictional slurs in popular culture.","Escalated from casual prejudice in early comics to systematic oppression. In storylines like 'Days of Future Past,' it accompanies genocide.","Used globally in the Marvel Universe wherever anti-mutant sentiment exists. Especially prominent during Sentinel programs and mutant registration acts.","You're nothing but a filthy mutie."
"Fangbanger","Slur for humans who sleep with vampires","FANG-bang-er","Noun (Slur)","True Blood","TV","Grounder-pounder (The 100); Toaster lover (BSG)","Race-mixer; Slut; Deviant","Slur; Sexual","Extreme","Various characters","S1E1 'Strange Love' (2008)","A slur for humans who have sexual relationships with vampires. Shames them for crossing the human-vampire divide.","Compound of 'fang' (vampire teeth) and 'banger' (slang for sexual partner). Combines species prejudice with sexual shaming.","Used consistently throughout True Blood's seven seasons. Part of the show's extensive prejudice vocabulary.","Used throughout True Blood (2008-2014). Part of the show's allegory for various forms of real-world prejudice.","Loaded with both species-ism and sexual shaming. Functions like a compound slur — targeting both the vampire association and the sexual element.","Used across the American South in True Blood's setting. Particularly common in anti-vampire communities.","You horny fangbangers are literally asking for it."
"Smurf","Any word (universal substitute)","SMURF","Noun/Verb/Adjective/Everything","The Smurfs","TV/Film","Fork/Shirt/Bench (Good Place — systematic substitution)","Any and all words","Profanity; Obscenity (when used for swearing)","Mild to Extreme (context-dependent)","All Smurfs; notably Papa Smurf","The Smurfs TV series (1981); The Smurfs film (2011)","The Smurfs replace nearly any word with 'smurf,' which when applied to profanity, creates implied swearing that can be shockingly vulgar in implication.","Created by Belgian cartoonist Peyo (Pierre Culliford) in 1958. The word 'smurf' (French: 'schtroumpf') was reportedly coined at dinner when Peyo forgot the word for salt and said 'pass the schtroumpf.'","In the 1981 TV series, 'smurf' replaced ordinary words. In the 2011 film, the joke was made explicit when a character says 'Smurfity-smurf-smurf-smurf' and is told there's 'no call for that kind of language.'","Used since the 1958 comics. The TV series (1981-1989) and films (2011, 2013, 2017) all use the substitution system.","Unique trajectory — a children's cartoon word that, when adult audiences think about what's being replaced, becomes implicit profanity. The 2011 film made this explicit for laughs.","Universal among Smurf Village. Humans find the substitution confusing.","Patrick: Stop saying 'smurf' for everything! Smurf! Smurfity-smurf-smurf-smurf! (All the smurfs gasp.) Gutsy: There's no call for that kind of language, laddie!"
"Nerf herder","Hick / Redneck / Loser","NURF HUR-der","Noun (Insult)","Star Wars (The Empire Strikes Back)","Film","Milk-drinker (Elder Scrolls); Wool-headed (WoT); Bumpkin","Hick; Yokel; Redneck; Bumpkin","Insult","Mild","Princess Leia (Carrie Fisher)","The Empire Strikes Back (1980)","An insult implying someone is an unsophisticated rural laborer. Leia calls Han Solo a 'stuck-up, half-witted, scruffy-looking nerf herder.'","Nerfs are large, smelly herd animals in the Star Wars galaxy. Herding them is unglamorous, low-status work. The insult implies someone is crude and beneath notice.","Remained a mild insult. Most famous for Leia's delivery. Has not evolved beyond its original usage.","Used in The Empire Strikes Back (1980). Became one of Star Wars' most quoted insults. Referenced in countless parodies and homages.","Mild by any standard. It's the Star Wars equivalent of calling someone a farmer or yokel. Its fame comes from Carrie Fisher's delivery, not its severity.","Galaxy-wide term. Nerfs exist on many planets.","Why, you stuck-up, half-witted, scruffy-looking nerf herder!"
"Feth","Fuck","FETH","Verb/Adjective/Interjection","Warhammer 40K (Gaunt's Ghosts)","Books","Frak (BSG); Frell (Farscape); Kriff (Star Wars)","Fuck; Effing; Bloody","Obscenity; Profanity","Extreme","Colonel-Commissar Ibram Gaunt, Tanith First and Only","First and Only by Dan Abnett (1999)","The primary expletive of the Tanith First and Only regiment. Derived from an ancient tree spirit associated with fertility on their destroyed homeworld.","Named after an ancient fertility-associated tree spirit from the planet Tanith. The connection between a fertility deity and profanity follows real-world linguistic patterns where sexual/reproductive concepts become taboo.","Consistent usage throughout the Gaunt's Ghosts series. Remains specifically associated with the Tanith regiment.","Introduced in Dan Abnett's First and Only (1999). Used throughout the Gaunt's Ghosts series. Part of the rich regimental culture Abnett created.","Functions as a strong military expletive. Its connection to a lost homeworld's deity gives it additional emotional resonance for the Tanith soldiers.","Specific to Tanith and the Tanith First and Only regiment. Other Imperial Guard regiments have their own profanity.","Fething hell, that was close!"
"Gak","Shit / Crap","GAK","Noun","Warhammer 40K (Gaunt's Ghosts)","Books","Dren (Farscape); Crem (Stormlight); Druk (Star Wars); Felgercarb (BSG)","Crap; Cack; Muck; Rubbish","Scatological; Profanity","Moderate","Various Imperial Guard soldiers","Gaunt's Ghosts series by Dan Abnett","Scatological profanity in the Gaunt's Ghosts series, equivalent to 'shit' or 'crap.'","An Imperial Guard military term. Part of the future military slang system Dan Abnett created for the Warhammer 40K universe.","Consistent scatological term throughout the series.","Used in the Gaunt's Ghosts novels as part of the Imperial Guard vocabulary.","Standard military scatological vulgarity. Not the strongest term available but widely used.","Imperial Guard / Astra Militarum military slang.","This situation has gone completely to gak."
"Grox","Bastard / SOB (insult based on animal)","GROKS","Noun (Insult)","Warhammer 40K","Books/Games","Nerf herder (Star Wars); Son of a mynock (Star Wars)","Pig; Swine; Beast; Bastard","Insult","Moderate","Various","Warhammer 40K various sources","A grox is a large, aggressive, notoriously ill-tempered beast in the 40K universe. Used as an insult comparing someone to this animal.","Grox are bad-tempered livestock in the Warhammer 40K universe. Like calling someone a 'pig' or 'swine,' it compares the target to a disagreeable animal.","Consistent animal-based insult throughout 40K literature.","Used across various Warhammer 40K novels and game materials.","A moderate insult. Animal comparisons are universal across human cultures.","Galaxy-wide Imperial slang.","Don't be such a grox about it."
"Drek","Shit / Crap","DREK","Noun","Shadowrun","TTRPG/Video Games","Dren (Farscape); Gak (Warhammer 40K); Crem (Stormlight Archive)","Crap; Crud; Garbage; Rubbish","Scatological; Profanity","Moderate","Various shadowrunners","Shadowrun TTRPG (1989)","Standard scatological profanity in the Shadowrun universe. Equivalent to 'shit' or 'crap.'","Derived from 'dreck' (Yiddish/German for trash or waste). Modified spelling for the cyberpunk future setting.","Consistent usage from the 1989 TTRPG through video game adaptations.","Used since the original 1989 Shadowrun TTRPG. Featured in the video game series (2013-2015) and all subsequent media.","A well-established cyberpunk expletive. Its Yiddish roots give it real-world linguistic credibility.","Universal across the Shadowrun Sixth World.","This plan is pure drek, chummer."
"Slot","Fuck (vulgar, aggressive)","SLOT","Verb/Noun","Shadowrun","TTRPG/Video Games","Frak (BSG); Kark (Star Wars); Frell (Farscape)","Fuck; Screw; Shaft","Obscenity; Sexual","Extreme","Various shadowrunners","Shadowrun TTRPG (1989)","A strong vulgar term in the Shadowrun universe, used similarly to the F-word. Has a particularly 'greasy' and aggressive connotation.","Possibly derived from cybernetic 'slots' (ports for installing cyberware). The sexual connotation follows the pattern of mechanical insertion metaphors becoming profanity.","Consistent usage as a strong expletive throughout Shadowrun media.","Used since the 1989 TTRPG. Part of Shadowrun's extensive slang vocabulary.","One of the stronger terms in Shadowrun's vocabulary. More aggressive than 'drek.'","Universal across the Sixth World.","Slot off, you fragger."
"Frag / Fragger","Fuck / Fucker","FRAG / FRAG-er","Verb/Noun/Adjective","Shadowrun","TTRPG/Video Games","Frak (BSG); Frell (Farscape); Feth (Warhammer 40K)","Fuck; Fucker; Effing","Obscenity; Profanity","Extreme","Various shadowrunners","Shadowrun TTRPG (1989)","The primary F-word substitute in Shadowrun. Used as verb, noun, and adjective just like its real-world counterpart.","Derived from military slang 'frag' (to kill a fellow soldier, especially an officer, typically with a fragmentation grenade). In Shadowrun's violent future, this military term became general profanity.","Consistent usage from 1989 to present. One of the most versatile Shadowrun expletives.","Used since the original 1989 TTRPG. Featured in all Shadowrun media including novels, video games, and sourcebooks.","Started as military jargon, became general profanity. One of the more linguistically realistic fictional curse word evolutions.","Universal across the Sixth World.","Frag it! We're fragged!"
"Keebs","Slur for elves","KEEBZ","Noun (Slur)","Shadowrun","TTRPG/Video Games","Mutie (X-Men); Mudblood (Harry Potter); N'wah (Elder Scrolls)","Racial epithet; Species slur","Slur","Extreme","Various anti-metahuman characters","Shadowrun TTRPG (1989)","A derogatory term for elves in the Shadowrun universe, derived from 'Keebler Elves' (a cookie brand featuring elf mascots).","From 'Keebler,' a real-world cookie brand whose mascots are cartoon elves. Reducing a proud metahuman species to a cookie mascot is deliberately demeaning.","Consistent slur used against elves throughout Shadowrun media.","Used in Shadowrun novels and sourcebooks. Part of the system's exploration of metahuman racism in a cyberpunk setting.","Carries the weight of metahuman prejudice. In Shadowrun's world, anti-metahuman bigotry is institutionalized and violent.","Used by human supremacist groups like Humanis Policlub.","Stinking keebs think they own this neighborhood."
"Trog","Slur for orks/trolls","TROG","Noun (Slur)","Shadowrun","TTRPG/Video Games","Prawn (District 9); Mutie (X-Men); Toaster (BSG)","Brute; Caveman; Subhuman","Slur","Extreme","Various anti-metahuman characters","Shadowrun TTRPG (1989)","A derogatory term for orks and trolls collectively, derived from 'troglodyte' — implying they're primitive cave-dwellers.","Shortened from 'troglodyte,' meaning cave-dweller. Implies orks and trolls are sub-human primitives despite being fully sapient metahumans.","Consistent slur throughout Shadowrun media.","Used in Shadowrun since the original TTRPG. Part of the metahuman prejudice system.","Dehumanizing species slur. Part of Shadowrun's ongoing exploration of how bigotry adapts to new targets.","Used by human supremacists. Orks sometimes reclaim related terms.","No trogs allowed in this establishment."
"Grounder-pounder","Slur for those who fraternize with grounders","GROUN-der POUN-der","Noun (Slur)","The 100","TV","Fangbanger (True Blood); Toaster lover (BSG); Blood traitor (Harry Potter)","Race-mixer; Fraternizer; Traitor","Slur; Sexual","Extreme","Various Ark-born characters","S1 (2014)","An insult used by space-station-born characters against those who form relationships with Earth-dwelling 'Grounders.'","Compound of 'Grounder' (the term for Earth survivors) and 'pounder' (sexual implication). Combines cultural prejudice with sexual shaming, like 'fangbanger.'","Used in early seasons. As alliances form between Sky People and Grounders, the term loses some currency.","Used in The 100's first seasons (2014+). Reflects the initial hostility between the two human factions.","Initially very charged. Loses some power as the show's factions intermingle, reflecting how prejudice can decrease with exposure.","Used by Sky People (Ark-born). Not used by Grounders.","I had no idea you were such a grounder-pounder."
"Tanj","Damn / Fuck (acronym)","TANJ","Interjection","Known Space / Ringworld","Books","Frak (BSG); Gorram (Firefly); D'Arvit (Artemis Fowl)","Damn; Blast; There's no justice","Profanity","Moderate","Louis Wu, various","Ringworld by Larry Niven (1970)","An all-purpose swear word from Larry Niven's Known Space universe. Acronym for 'There Ain't No Justice.'","Acronym: T.A.N.J. — There Ain't No Justice. A nihilistic expression of cosmic unfairness that became a general-purpose expletive. Reflects the series' libertarian-influenced worldview.","Consistent usage throughout the Known Space/Ringworld series. Never expanded beyond its acronymic origin.","Used in the Ringworld series starting in 1970. One of the earliest examples of science fiction creating systematic replacement profanity.","A moderate all-purpose expletive. Its acronymic origin gives it an intellectual quality that distinguishes it from guttural fictional curses.","Used throughout Known Space by various human cultures.","Tanj few people knew which end was which, these days."
"Thread","Damn / Hell (as exclamation of dread)","THRED","Noun/Interjection","Dragonriders of Pern","Books","Storms (Stormlight Archive); Rust (Mistborn)","Plague; Damn; Hell; Curse","Blasphemy; Profanity","Moderate","Various dragonriders","Dragonflight by Anne McCaffrey (1968)","Thread is the deadly, worm-like rain from space that destroys all organic material. Invoking it is like cursing with the name of the thing you fear most.","Thread is a real, existential threat on Pern — parasitic organisms that fall from space and devour organic matter. Cursing with 'Thread' invokes genuine cosmic horror, like saying 'plague take you.'","Consistent usage through all Pern novels. Variants include 'threadspore' and 'thread warmed over.'","Used throughout the Dragonriders of Pern series spanning multiple books from 1968 onward.","Deeply tied to worldbuilding. Thread is so feared that invoking it as profanity feels like tempting fate, giving the word genuine taboo weight.","Universal on Pern. All holds, weyrs, and crafthalls know and fear Thread.","Thread take you! I've had enough!"
"Fewmets","Shit / Crap","FYOO-mets","Noun","Dragonriders of Pern","Books","Dren (Farscape); Crem (Stormlight); Druk (Star Wars); Dwang (Star Wars)","Droppings; Dung; Excrement; Manure","Scatological","Moderate","Various dragonriders","Dragonriders of Pern series by Anne McCaffrey","Dragon droppings. Used as a general expletive among dragonriders who spend their days cleaning up after enormous dragons.","From the real English word 'fewmets' meaning deer droppings (a term from hunting). McCaffrey repurposed it for dragon excrement, and because dragonriders work with it daily, it naturally became their go-to scatological curse.","Consistent usage throughout the series. A term of art that doubled as profanity.","Used across the Pern novel series. Notable because it's based on a real (if archaic) English word.","A realistic example of profession-specific profanity. The people who deal with the substance daily are the ones who curse with it.","Specific to dragonrider culture. Non-riders might not use it.","Oh, fewmets! The hatchling got into the stores again."
"Grife","Damn / Shit","GRYFE","Interjection","DC Comics (Legion of Super-Heroes)","Comics","Sprock (DC); Nass (DC); D'Arvit (Artemis Fowl)","Damn; Crap; Blast","Profanity","Moderate","Various Legionnaires","Supergirl and the Legion of Super-Heroes #32 (2007)","A 31st-century expletive used by the Legion of Super-Heroes. General-purpose expression of frustration.","Part of the Legion's future slang vocabulary. No specific etymology given — it's simply a word that evolved as profanity in the 31st century.","Used consistently in Legion comics from various eras.","Used in various Legion of Super-Heroes comics. Part of the team's distinctive future vocabulary.","A moderate future-Earth expletive. Part of the comic's worldbuilding effort to show language evolution over a millennium.","31st-century Earth and United Planets.","Aw, grife! I will not drown in a roomful of wheat!"
"Sprock","Fuck","SPROK","Verb/Adjective","DC Comics (Legion of Super-Heroes)","Comics","Frak (BSG); Frell (Farscape); Kriff (Star Wars)","Fuck; Effing; Screw","Obscenity; Profanity","Extreme","Various Legionnaires","The Legion #15 (2003)","The Legion of Super-Heroes' equivalent of the F-word. Used primarily as an adjective ('sprocking').","A 31st-century expletive. No in-universe etymology provided. Part of the Legion's future English dialect.","Consistent as the strongest curse in the Legion vocabulary.","Used in various Legion of Super-Heroes publications from the 2000s onward.","The strongest term in the Legion's profanity system. Functions exactly like its real-world equivalent.","31st-century Earth and United Planets.","Join the Legion, see the galaxy, get your sprocking brains beat out."
"Shock","Fuck","SHOK","Verb/Adjective/Interjection","Marvel 2099","Comics","Frak (BSG); Sprock (DC); Frell (Farscape)","Fuck; Damn; Screw","Profanity; Obscenity","Extreme","Miguel O'Hara (Spider-Man 2099), various","Spider-Man 2099 #1 (1992)","The primary expletive in Marvel's 2099 future timeline. Used as a substitute for 'fuck' in all contexts.","In Marvel's 2099 future, language has evolved. 'Shock' — evoking electrical shock in a high-tech world — became the dominant expletive. Mirrors how technology shapes language.","Consistent throughout the 2099 comic line. Used in all 2099 titles.","Introduced in Spider-Man 2099 (1992). Used across the entire Marvel 2099 publishing line.","Functions as the standard F-word replacement in a tech-heavy future. The technological association gives it a cyberpunk edge.","Universal in the 2099 timeline. All social strata use it.","What the shock is going on here?"
"Slag","Bastard / Bitch / Expletive","SLAG","Noun/Verb/Interjection","Beast Wars: Transformers","TV","Frak (BSG); Scrap (Transformers Prime)","Bastard; Jerk; Damn; Crap","Insult; Profanity","Moderate","Dinobot, Rattrap, various Maximals and Predacons","Beast Wars S1 (1996)","The primary expletive in Beast Wars. Versatile — used as insult, exclamation, and modifier. In British English, 'slag' is already slang for 'slut.'","In the Transformers context, slag is industrial waste from metal smelting — fitting for a race of mechanical beings. For British audiences, the existing vulgar meaning of 'slag' added an extra layer.","Used consistently throughout Beast Wars (1996-1999). In later Transformers media, 'scrap' became more common.","Used throughout Beast Wars' three seasons. In Transformers: Prime and other later series, 'scrap' and 'slag' are both used.","Moderate to strong depending on the audience. British viewers found it stronger due to its pre-existing vulgar meaning.","Universal among Cybertronians in the Beast Wars era.","What in the slag are you doing?"
"Scrap","Shit / Damn","SKRAP","Noun/Interjection","Transformers (various)","TV/Games","Slag (Beast Wars); Gak (Warhammer 40K); Dren (Farscape)","Crap; Damn; Garbage; Rubbish","Profanity; Scatological","Moderate","Various Autobots and Decepticons","Transformers: Prime (2010)","General-purpose Cybertronian expletive. Like 'slag,' it derives from mechanical/industrial processes appropriate for a robot civilization.","Scrap metal is waste in metalworking. For Cybertronians, being compared to scrap metal is like being called worthless trash.","Became more prominent as 'slag' was phased out in some Transformers media. Now used alongside it.","Prominent in Transformers: Prime (2010-2013) and subsequent media.","A moderate expletive. Replaced 'slag' in some contexts, possibly due to British English concerns about the latter.","Universal among Cybertronians.","Oh, scrap! Decepticons!"
"Blanker","Racial slur for white people","BLANK-er","Noun (Slur)","Noughts and Crosses","Books/TV","Mudblood (Harry Potter); N'wah (Elder Scrolls); Prawn (District 9)","Racial epithet; Ethnic slur","Slur","Extreme","Various Cross characters","Noughts and Crosses by Malorie Blackman (2001)","In the inverted-racism world of Noughts and Crosses, 'blanker' is the slur used by the dominant black Crosses against the oppressed white Noughts.","Derived from 'blank' — implying whiteness is emptiness or nothingness. In the series' inverted racial hierarchy, it functions exactly as the N-word does in our world.","Used consistently in the novel series and BBC TV adaptation. Carries increasing weight as the political situation in the story escalates.","Used throughout Malorie Blackman's Noughts and Crosses series (2001-2019) and the BBC TV adaptation (2020).","Designed to make predominantly white readers experience the impact of a racial slur directed at them, creating empathy through discomfort.","Used by the dominant Cross (black) population against the marginalized Nought (white) population.","Don't talk to that blanker. They're not worth your time."
"Grozit","Damn / Shit","GROH-zit","Interjection","Space Cases / Star Trek: New Frontier","TV/Books","Dank Farrik (Star Wars); Gorram (Firefly); Shazbot (Mork & Mindy)","Damn; Blast; Darn; Crap","Profanity","Moderate","Catalina (Jewel Staite) in Space Cases; Captain Calhoun in Star Trek: New Frontier","Space Cases S1E2 'Who Goes Where?' (1996)","A curse from the planet Xenex, used by Captain Mackenzie Calhoun. Also used in Space Cases by the same creator.","Created by writer Peter David. Used in both Space Cases (a children's sci-fi show) and his Star Trek: New Frontier novel series, making it a cross-franchise fictional curse by the same author.","Consistent across both franchises where Peter David used it.","First appeared in Space Cases (1996), then used extensively in Star Trek: New Frontier novels (1997 onward). A rare case of a fictional curse crossing franchises via the same writer.","Moderate expletive. Appropriate for a children's TV show while still carrying weight in adult novels.","Xenexian in origin (Star Trek). Also used on Catalina's homeworld (Space Cases).","Avoid celebrating the most exhausting holiday in the universe? Oh grozit, no!"
"Frinx","Fuck / Damn","FRINKS","Interjection","Star Trek (novels)","Books","Frak (BSG); Grozit (Star Trek: New Frontier); PetaQ (Star Trek Klingon)","Damn; Blast; F-word","Profanity","Moderate","Quark","Star Trek: The Fall of Terok Nor (2000)","A Ferengi exclamation used by Quark, expressing shock or dismay.","Part of the Ferengi language. Used by Quark in the novel continuity.","Limited to novel appearances. No evolution observed.","Used in Star Trek novels, primarily in Deep Space Nine tie-ins.","A moderate Ferengi expletive.","Ferengi. Used by the profit-obsessed species.","Frinx! Quark gasped, as a strong hand grabbed him."
"petaQ","Dishonorable coward / Bastard","peh-TAK","Noun (Insult)","Star Trek","TV/Film","Skinjob (Blade Runner); S'wit (Elder Scrolls); Sleemo (Star Wars)","Coward; Scum; Dishonorable wretch; Bastard","Insult","Extreme","Worf (Michael Dorn), various Klingons","Star Trek: The Next Generation (various episodes)","The most iconic Klingon insult. Implies the target is without honor — the worst thing a Klingon can say about someone.","From the Klingon language (developed by linguist Marc Okrand). In Klingon warrior culture, honor is everything. petaQ strips the target of all honor and worth.","Consistent throughout Star Trek media. Always carries extreme contempt from Klingon speakers.","Used throughout TNG, DS9, and other Star Trek series. One of the most recognized Klingon words among fans.","Carries the maximum taboo weight in Klingon culture. Being called petaQ is grounds for a duel to the death. It's their most emotionally devastating insult.","Klingon. Used across the Klingon Empire. Understood by many Federation citizens.","You are without honor! petaQ!"
"Shol'va","Traitor / Heretic","SHOL-vah","Noun (Slur/Insult)","Stargate SG-1","TV","Blood traitor (Harry Potter); Secessionist terms (various)","Traitor; Heretic; Apostate; Turncoat","Blasphemy; Insult","Extreme","Apophis, various Goa'uld and Jaffa","Stargate SG-1 Season 1 (1997)","A Goa'uld term meaning 'traitor,' specifically one who betrays the false gods. Applied to Teal'c after he defects to the SGC.","In the Goa'uld language. Since the Goa'uld present themselves as gods, betrayal is simultaneously treason and heresy. The word carries both political and religious weight.","Initially directed at Teal'c specifically. As more Jaffa rebel, the term becomes more broadly applied but loses none of its venom.","Used throughout Stargate SG-1's ten seasons. Primarily directed at Teal'c. Central to the show's themes of liberation from false gods.","Carries the maximum weight of both political and religious betrayal. In a theocratic society, there's nothing worse.","Used throughout the Goa'uld Empire. All Jaffa understand it.","Shol'va! You will die for your betrayal!"
"Sparks","Damn / Crap (mild)","SPARKS","Interjection","Steelheart (Reckoners series)","Books","Storms (Stormlight); Light (WoT); Blast (general)","Darn; Gosh; Dang; Shoot","Profanity","Mild","David Charleston","Steelheart by Brandon Sanderson (2013)","A mild exclamation used in the Reckoners series' future Earth. Generally considered one of Sanderson's less successful invented curses.","In a world where superpowered beings (Epics) have taken over, 'sparks' may relate to the energy associated with their powers. However, it's an existing English word without strong taboo associations.","Consistent but limited to the Reckoners trilogy.","Used in the Reckoners trilogy (2013-2016). Often cited in discussions of fictional profanity as an example of a less convincing invented curse.","Considered too mild by many readers. It's an actual word without inherent taboo, making it feel like a 1950s-style softened oath rather than genuine future profanity.","Future Earth. No regional specificity noted.","Sparks! That Epic nearly killed us!"
"Shazbot","Shit / Damn (see entry 27 - expanded)","SHAZ-bot","Interjection","Starsiege: Tribes (video game)","Video Games","Shazbot (Mork & Mindy); VGS (Tribes voice commands)","Damn; Crap; Rats","Profanity","Mild","Player characters","Starsiege: Tribes (1998)","Borrowed from Mork & Mindy and incorporated into the Tribes video game series as a voice command emote, giving it a second life in gaming culture.","Originally from Mork & Mindy (1978). Dynamix/Sierra included it as a voice command in Starsiege: Tribes (1998), where it became one of the game's most spammed and beloved voice lines.","Evolved from a TV catchphrase to a gaming meme. In Tribes, it was used for everything from genuine frustration to comedic spam.","Used in Starsiege: Tribes (1998), Tribes 2 (2001), Tribes: Ascend (2012). The voice command system made it iconic in competitive gaming.","Transitioned from pop culture to gaming culture, gaining new life and new meaning as a multi-purpose voice command emote.","Used by all factions in the Tribes games.","VGTG VGS! (I am the greatest! Shazbot!)"
"Fahrbot","Crazy / Insane","FAR-bot","Adjective","Farscape","TV","Nutso; Batty; Gonk (to a lesser degree)","Crazy; Nuts; Bonkers; Mental","Insult","Mild","Various characters","Farscape Season 1 (1999)","Farscape term meaning crazy or insane. Used to describe someone who has lost their mind.","Part of Farscape's alien vocabulary. No specific species origin given.","Consistent mild insult throughout the series.","Used throughout Farscape's run. Less famous than 'frell' or 'dren' but part of the show's rich vocabulary.","A mild insult. Calling someone fahrbot is more bemused than vicious.","Used across the Uncharted Territories.","You're completely fahrbot if you think that's going to work."
